년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2017-01-01,서귀포시,동홍동,슈퍼마켓,여성,12061,414880370,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,기타음식료품위주종합소매업,여성,9,247450,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,여관업,여성,39,2413300,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,일식 음식점업,여성,167,15181600,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,전시 및 행사 대행업,여성,55,1652000,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,중식 음식점업,여성,168,4306000,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,차량용 가스 충전업,여성,308,12615109,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,스포츠 및 레크레이션 용품 임대업,여성,70,3562800,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,예래동,과실 및 채소 소매업,여성,90,7708000,867063.3740000002,271416.096,2571144.711,2020-12-15
2017-01-01,서귀포시,동홍동,육류 소매업,여성,416,29210137,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,대천동,중식 음식점업,여성,51,1309000,1967635.033,182638.673,1946946.669,2020-12-15
2017-01-01,서귀포시,동홍동,기타 외국식 음식점업,여성,190,4190521,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,체인화 편의점,여성,4625,44854130,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,서홍동,스포츠 및 레크레이션 용품 임대업,남성,1,40000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,슈퍼마켓,남성,275,8782270,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,수산물 소매업,남성,37,3982000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,서양식 음식점업,남성,336,5793500,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,빵 및 과자류 소매업,남성,215,2047000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,비알콜 음료점업,남성,489,4106400,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,동홍동,차량용 주유소 운영업,여성,1177,57683492,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,서홍동,내항 여객 운송업,남성,291,34017300,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,기타 외국식 음식점업,남성,268,5817700,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,관광 민예품 및 선물용품 소매업,남성,18,265000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,서홍동,과실 및 채소 소매업,남성,51,2208250,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,동홍동,화장품 및 방향제 소매업,여성,1,100000,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,한식 음식점업,여성,3998,188637551,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,838,17640620,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,서홍동,기타음식료품위주종합소매업,남성,15,3235760,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,대천동,육류 소매업,여성,35,1288310,1967635.033,182638.673,1946946.669,2020-12-15
2017-01-01,서귀포시,대정읍,한식 음식점업,여성,4388,201576125,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,731,11998840,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,건강보조식품 소매업,여성,19,3267100,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,과실 및 채소 소매업,여성,151,7193650,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,호텔업,여성,1,50000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,여성,25,795300,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,그외 기타 종합 소매업,여성,4,1650000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,기타 외국식 음식점업,여성,17,446000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,화장품 및 방향제 소매업,남성,56,1660390,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,기타 주점업,여성,49,11555010,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,비알콜 음료점업,여성,652,9425100,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,빵 및 과자류 소매업,여성,1790,22251100,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,여성,3,148000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대천동,일식 음식점업,여성,103,4889500,1967635.033,182638.673,1946946.669,2020-12-15
2017-01-01,서귀포시,대정읍,화장품 및 방향제 소매업,여성,157,7178350,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대천동,과실 및 채소 소매업,남성,773,53400740,2330272.395,262621.341,2399646.761,2020-12-15
2017-01-01,서귀포시,대정읍,기타음식료품위주종합소매업,여성,339,11277310,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,호텔업,남성,2,170000,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,한식 음식점업,남성,8436,419792488,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,948,15746480,5507591.206,316384.235,2346590.592,2020-12-15
2017-01-01,서귀포시,대정읍,체인화 편의점,여성,3847,38853970,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,차량용 주유소 운영업,여성,1770,100017154,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,차량용 가스 충전업,여성,42,3780000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,중식 음식점업,여성,315,9702000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,전시 및 행사 대행업,여성,29,224200,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,일식 음식점업,여성,224,19783500,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,일반유흥 주점업,여성,60,9726000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,육류 소매업,여성,292,15206700,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,욕탕업,여성,22,2013700,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,여행사업,여성,1,198220,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,여관업,여성,74,3956300,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,여성,103,8561800,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,슈퍼마켓,여성,5477,193488125,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,수산물 소매업,여성,269,24174000,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,대정읍,서양식 음식점업,여성,644,16461910,5094667.786,206555.068,1889078.316,2020-12-15
2017-01-01,서귀포시,서홍동,여관업,남성,61,5165000,1483136.434,84654.332,1147115.857,2020-12-15
2017-01-01,서귀포시,동홍동,기타 대형 종합 소매업,여성,5494,334699300,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,동홍동,관광 민예품 및 선물용품 소매업,여성,84,2687700,5883945.23,381103.946,2500798.788,2020-12-15
2017-01-01,서귀포시,대천동,차량용 가스 충전업,여성,13,551000,1967635.033,182638.673,1946946.669,2020-12-15
2017-01-01,서귀포시,남원읍,차량용 주유소 운영업,여성,1491,77201812,4013466.798,285862.095,2430533.785,2020-12-15
